hpv_1,uptake_max,uptake_mean,uptake_min
10,0.179931389,0.178987993,0.178044597
12,0.179931389,0.179759863,0.179588336
13,0.186792453,0.181234991,0.178044597
14,0.190394511,0.184734134,0.181646655
15,0.193653516,0.190737564,0.188507719
16,0.193138937,0.193138937,0.193138937
17,0.196569468,0.195883362,0.195197256
18,0.20051458,0.199056604,0.197598628
19,0.290909091,0.26625713,0.229502573
20,0.290737564,0.272419106,0.203430532
21,0.288164666,0.258568533,0.210291595
30,0.301200686,0.296961529,0.29193825
32,0.298284734,0.298284734,0.298284734
33,0.294682676,0.294682676,0.294682676
34,0.298456261,0.297598628,0.297084048
35,0.300686106,0.29974271,0.297598628
36,0.299313894,0.298284734,0.297255575
37,0.300686106,0.298056032,0.295025729
38,0.301715266,0.300343053,0.29897084
39,0.30102916,0.300600343,0.300171527
40,0.302915952,0.30032451,0.295025729
41,0.303087479,0.300181056,0.295025729
42,0.303430532,0.302630074,0.301372213
43,0.301200686,0.299914237,0.298627787
44,0.301200686,0.301200686,0.301200686
45,0.302401372,0.302401372,0.302401372
46,0.301372213,0.300171527,0.29897084
47,0.306003431,0.304030875,0.302058319
48,0.305145798,0.305145798,0.305145798
49,0.303259005,0.303087479,0.302915952
50,0.308233276,0.303498345,0.29948542
51,0.30703259,0.304545455,0.301715266
52,0.303259005,0.303259005,0.303259005
53,0.304288165,0.304288165,0.304288165
54,0.306689537,0.304202401,0.301715266
55,0.306174957,0.305746141,0.305317324
57,0.306689537,0.304688393,0.302229846
58,0.306346484,0.305145798,0.303945111
59,0.30754717,0.307375643,0.307204117
60,0.308233276,0.305441204,0.30051458
61,0.309777015,0.306453688,0.304631218
62,0.30806175,0.30806175,0.30806175
63,0.309433962,0.30626072,0.302572899
64,0.309605489,0.309605489,0.309605489
66,0.307204117,0.307204117,0.307204117
67,0.309262436,0.30703259,0.304459691
68,0.308747856,0.307718696,0.30703259
70,0.310463122,0.308035361,0.303773585
71,0.310977702,0.30780446,0.304288165
72,0.309090909,0.308833619,0.308576329
74,0.309948542,0.309148085,0.30806175
75,0.311320755,0.308519154,0.306346484
76,0.309777015,0.30728988,0.304802744
77,0.312178388,0.312178388,0.312178388
79,0.313722127,0.310506003,0.308233276
80,0.314236707,0.311211601,0.306689537
81,0.315265866,0.312898799,0.310806175
82,0.311835334,0.311320755,0.310806175
83,0.315780446,0.313722127,0.312006861
84,0.315608919,0.315437393,0.315265866
85,0.314408233,0.311406518,0.308404803
88,0.317838765,0.317095483,0.315951973
89,0.317152659,0.315566038,0.313036021
90,0.322469983,0.318835763,0.315437393
91,0.321440823,0.318829808,0.315265866
92,0.322813036,0.32058319,0.318696398
93,0.320926244,0.320926244,0.320926244
94,0.325557461,0.323713551,0.322469983
95,0.334819897,0.329166667,0.321955403
