"hpv_1","uptake_mean","uptake_max"
9.9,0.0934272300469478,0.0934272300469478
11.1,0.094366197183099,0.094366197183099
11.8,0.0936619718309859,0.0936619718309859
13.2,0.0962441314553993,0.0962441314553993
13.8,0.100469483568075,0.100469483568075
14.4,0.100234741784038,0.100234741784038
15.8,0.103521126760563,0.103521126760563
16.1,0.104694835680751,0.104694835680751
17,0.10868544600939,0.10868544600939
17.3,0.106807511737089,0.106807511737089
17.6,0.111267605633802,0.111267605633802
18.6,0.113145539906103,0.113145539906103
21.1,0.204694835680751,0.204694835680751
24.1,0.195305164319249,0.195305164319249
27.1,0.207042253521126,0.207042253521126
28.4,0.211737089201878,0.211737089201878
29.7,0.268075117370892,0.269248826291079
30.8,0.365727699530516,0.365727699530516
31.6,0.361032863849766,0.361032863849766
33.3,0.363849765258216,0.363849765258216
33.6,0.366431924882629,0.366431924882629
33.8,0.367605633802817,0.369953051643193
34.5,0.367840375586855,0.367840375586855
34.7,0.367840375586855,0.367840375586855
35.1,0.372769953051643,0.372769953051643
35.4,0.373474178403755,0.373474178403755
36,0.377464788732394,0.377464788732394
36.6,0.379107981220657,0.379107981220657
37.3,0.378638497652582,0.378638497652582
37.8,0.38075117370892,0.38075117370892
38.2,0.380516431924882,0.380516431924882
38.5,0.383098591549296,0.383098591549296
38.9,0.381924882629108,0.381924882629108
39.2,0.390610328638498,0.390610328638498
39.7,0.385446009389671,0.385446009389671
39.9,0.393192488262911,0.393192488262911
41,0.396948356807512,0.396948356807512
41.2,0.397417840375586,0.401173708920187
41.9,0.396948356807512,0.396948356807512
42.3,0.392018779342723,0.392018779342723
42.4,0.397887323943662,0.397887323943662
42.7,0.394366197183098,0.394366197183098
43,0.396713615023474,0.396713615023474
43.3,0.3981220657277,0.3981220657277
45.7,0.389906103286385,0.389906103286385
46,0.400234741784037,0.400234741784037
46.4,0.4018779342723,0.4018779342723
46.8,0.403990610328639,0.403990610328639
47.2,0.404460093896714,0.404460093896714
47.7,0.399295774647887,0.399295774647887
48.1,0.402347417840375,0.402347417840375
50.3,0.405985915492957,0.406338028169014
50.7,0.402582159624414,0.402582159624414
50.9,0.404773082942097,0.406807511737089
51,0.40293427230047,0.406103286384976
51.1,0.4018779342723,0.4018779342723
51.2,0.406572769953051,0.406572769953051
51.5,0.404225352112676,0.404225352112676
51.8,0.402112676056338,0.402112676056338
52,0.404694835680751,0.404694835680751
54.4,0.405633802816901,0.405633802816901
54.8,0.404225352112676,0.404225352112676
55.1,0.405399061032864,0.405399061032864
55.5,0.402816901408451,0.402816901408451
56,0.404460093896714,0.404460093896714
56.5,0.407511737089202,0.407511737089202
56.8,0.405164319248826,0.405164319248826
57.1,0.403521126760564,0.403521126760564
57.5,0.408215962441314,0.408215962441314
59.1,0.407042253521127,0.407042253521127
59.5,0.402816901408451,0.402816901408451
60.4,0.406807511737089,0.406807511737089
60.5,0.408920187793427,0.408920187793427
60.6,0.409272300469483,0.410093896713615
60.7,0.406807511737089,0.407981220657277
60.8,0.410328638497653,0.410328638497653
60.9,0.411384976525822,0.411502347417841
61.1,0.406338028169014,0.406338028169014
61.3,0.407042253521127,0.407042253521127
62.8,0.405633802816901,0.405633802816901
62.9,0.410093896713615,0.410093896713615
63,0.404694835680751,0.404694835680751
63.1,0.408528951486698,0.41056338028169
63.2,0.409507042253521,0.411267605633803
63.3,0.410328638497653,0.410328638497653
63.4,0.408685446009389,0.408685446009389
63.7,0.41056338028169,0.41056338028169
66.5,0.406807511737089,0.406807511737089
66.9,0.411737089201878,0.411737089201878
67.5,0.412441314553991,0.412441314553991
67.9,0.412676056338028,0.412676056338028
68.2,0.411737089201878,0.411737089201878
68.8,0.407042253521127,0.407042253521127
69.2,0.407746478873239,0.407746478873239
69.6,0.410328638497653,0.410328638497653
70.6,0.412128325508607,0.415492957746478
70.7,0.415962441314553,0.415962441314553
71.1,0.413693270735524,0.41737089201878
71.3,0.411267605633803,0.411267605633803
71.8,0.415492957746478,0.415492957746478
72.1,0.413849765258216,0.413849765258216
72.5,0.410798122065728,0.410798122065728
72.8,0.412206572769953,0.412206572769953
75.3,0.412441314553991,0.412441314553991
75.6,0.409389671361503,0.409389671361503
75.8,0.411971830985916,0.411971830985916
76.3,0.411737089201878,0.411737089201878
76.6,0.413145539906103,0.413145539906103
77,0.413145539906103,0.413145539906103
77.5,0.412910798122066,0.412910798122066
77.9,0.407746478873239,0.407746478873239
78.1,0.415258215962441,0.415258215962441
79.8,0.411580594679186,0.413849765258216
80.3,0.412910798122066,0.415727699530516
80.4,0.411658841940532,0.416666666666667
80.8,0.412910798122066,0.413380281690141
80.9,0.414131455399061,0.417840375586855
81.3,0.412206572769953,0.412206572769953
83.7,0.415962441314553,0.415962441314553
83.9,0.414788732394366,0.414788732394366
84.3,0.413615023474178,0.413615023474178
84.7,0.412910798122066,0.412910798122066
85.2,0.411971830985916,0.411971830985916
85.7,0.413615023474178,0.413615023474178
85.9,0.413615023474178,0.413615023474178
86.3,0.411267605633803,0.411267605633803
86.8,0.410328638497653,0.410328638497653
88.8,0.41830985915493,0.41830985915493
89.1,0.41924882629108,0.41924882629108
89.3,0.420657276995305,0.420657276995305
89.6,0.414319248826291,0.414319248826291
89.7,0.416197183098591,0.416197183098591
90.3,0.415062597809077,0.418544600938967
90.4,0.413928012519562,0.417840375586855
90.5,0.414632237871674,0.416901408450705
90.6,0.415727699530516,0.418075117370892
90.7,0.415336463223787,0.41737089201878
91.4,0.411502347417841,0.411502347417841
91.6,0.416901408450705,0.416901408450705
91.8,0.419483568075117,0.419483568075117
92.1,0.419953051643192,0.419953051643192
92.3,0.417605633802817,0.417605633802817
92.4,0.415023474178403,0.415023474178403
92.7,0.418075117370892,0.418075117370892
92.9,0.417136150234742,0.417136150234742
93.1,0.418544600938967,0.418544600938967
93.9,0.415258215962441,0.415258215962441
94.2,0.419953051643192,0.419953051643192
94.5,0.415962441314553,0.415962441314553
94.7,0.414906103286384,0.415023474178403
