hpv,uptake
90.66,0.126759003
90.56,0.127811634
90.55,0.125761773
90.53,0.126703601
90.42,0.126038781
90.4,0.126426593
90.35,0.125595568
90.35,0.126759003
90.33,0.127867036
90.32,0.127645429
90.29,0.126537396
90.28,0.127977839
90.27,0.123767313
90.24,0.127257618
90.23,0.128753463
90.21,0.126703601
90.18,0.127977839
90.13,0.127645429
90.13,0.127091413
90.12,0.127700831
90.09,0.127922438
90.09,0.128033241
90.07,0.126759003
90.06,0.126315789
90.06,0.128033241
90.06,0.129418283
90.05,0.126481994
90.05,0.127756233
90.04,0.127479224
90.03,0.125152355
90.03,0.127811634
90.02,0.128587258
90.02,0.128310249
90,0.127977839
89.99,0.128365651
89.99,0.128365651
89.99,0.129252078
89.98,0.126592798
89.98,0.127313019
89.98,0.126426593
89.97,0.126260388
89.97,0.127146814
89.97,0.129418283
89.96,0.127867036
89.95,0.127977839
89.94,0.128144044
89.94,0.128421053
89.92,0.127590028
89.92,0.127534626
89.91,0.126149584
89.9,0.126759003
89.9,0.127313019
89.9,0.128421053
89.9,0.129307479
89.89,0.128642659
89.88,0.126648199
89.87,0.127368421
89.87,0.127036011
89.86,0.128310249
89.85,0.127977839
89.84,0.126426593
89.84,0.126925208
89.84,0.128421053
89.82,0.127534626
89.81,0.127977839
89.81,0.126204986
89.8,0.127257618
89.8,0.126648199
89.75,0.127423823
89.72,0.127202216
89.62,0.129639889
89.51,0.126094183
89.36,0.125373961
89.17,0.128421053
88.8,0.124210526
88.65,0.126592798
88.51,0.128365651
88.03,0.128698061
87.96,0.126814404
87.92,0.126537396
87.83,0.123767313
87.53,0.125817175
87.45,0.12565097
87.36,0.129362881
87.32,0.125761773
87.28,0.125540166
87.24,0.126204986
87.23,0.12598338
87.04,0.125817175
87.03,0.125706371
86.76,0.129252078
86.25,0.128587258
85.41,0.128476454
84.59,0.129307479
83.66,0.128476454
83.6,0.122714681
82.97,0.129030471
82.22,0.128254848
81.44,0.129030471
80.57,0.128531856
79.71,0.129196676
79.63,0.122936288
79.42,0.120886427
78.95,0.129196676
78.18,0.128033241
77.52,0.128476454
76.81,0.128476454
76.36,0.122493075
76.18,0.128975069
75.55,0.126814404
74.85,0.127313019
74.12,0.122437673
74.03,0.123434903
73.95,0.127036011
73.45,0.127146814
73.17,0.122493075
72.99,0.127756233
72.47,0.127423823
71.78,0.126925208
71.18,0.128033241
70.73,0.126759003
70.33,0.123601108
70.31,0.12432133
70.29,0.125096953
70.25,0.125595568
70.25,0.12432133
70.22,0.125429363
70.22,0.12465374
70.17,0.124819945
70.17,0.124875346
70.16,0.125595568
70.16,0.124930748
70.15,0.123767313
70.12,0.12398892
70.12,0.123601108
70.08,0.124210526
70.07,0.123878116
70.05,0.123878116
70.05,0.122825485
70.05,0.12232687
70.05,0.122936288
70.04,0.124487535
70.04,0.125041551
70.04,0.124487535
70.04,0.123434903
70.04,0.123767313
70.03,0.126703601
70.03,0.123878116
70.03,0.123268698
70.03,0.122770083
70.03,0.122437673
70.02,0.124044321
69.98,0.123434903
69.98,0.122548476
69.98,0.121939058
69.97,0.12365651
69.97,0.122548476
69.97,0.124099723
69.97,0.122216066
69.97,0.12232687
69.96,0.124487535
69.96,0.12299169
69.96,0.122493075
69.96,0.122493075
69.95,0.124598338
69.94,0.124432133
69.94,0.123157895
69.93,0.125207756
69.91,0.12199446
69.89,0.124210526
69.88,0.123767313
69.88,0.122105263
69.86,0.124376731
69.85,0.123545706
69.85,0.122493075
69.84,0.123822715
69.84,0.123047091
69.83,0.12398892
69.82,0.124265928
69.82,0.12398892
69.81,0.12066482
69.79,0.124155125
69.77,0.124875346
69.77,0.122493075
69.74,0.123545706
69.65,0.127368421
69.55,0.125872576
69.41,0.128033241
69.33,0.125041551
69.21,0.126315789
69.07,0.125595568
69.05,0.127091413
69,0.125429363
68.99,0.126204986
68.89,0.127091413
68.7,0.125373961
68.69,0.126426593
68.65,0.127036011
68.64,0.126648199
68.6,0.125927978
68.59,0.126149584
67.72,0.122271468
66.4,0.12299169
65.76,0.122493075
65.51,0.122382271
65.35,0.122603878
65.32,0.122437673
65.32,0.122603878
65.26,0.121939058
65.17,0.121883657
65.03,0.121828255
64.99,0.121274238
64.9,0.121163435
64.62,0.122271468
64.22,0.122548476
63.75,0.122216066
63.17,0.122714681
62.57,0.121883657
61.81,0.121551247
61.03,0.122770083
60.32,0.121717452
59.48,0.12299169
58.61,0.122437673
57.91,0.121883657
57.07,0.122105263
56.46,0.121052632
55.66,0.12199446
54.78,0.12166205
53.94,0.12265928
53.31,0.117783934
53.28,0.121772853
52.87,0.117728532
52.55,0.121495845
51.81,0.12
51.79,0.11734072
51.73,0.118282548
51.08,0.121551247
50.68,0.118171745
50.59,0.120720222
50.34,0.118781163
50.29,0.118614958
50.29,0.118559557
50.28,0.118282548
50.26,0.118725762
50.26,0.118393352
50.25,0.119501385
50.22,0.119113573
50.22,0.118393352
50.21,0.119224377
50.21,0.119058172
50.21,0.118891967
50.18,0.118614958
50.17,0.119556787
50.15,0.115623269
50.13,0.118227147
50.12,0.119833795
50.12,0.118781163
50.1,0.117950139
50.07,0.118282548
50.07,0.118725762
50.05,0.118781163
50.05,0.117174515
50.05,0.117396122
50.04,0.11767313
50.03,0.118781163
50.02,0.118614958
50.02,0.117396122
50,0.117894737
50,0.117894737
49.99,0.117894737
49.98,0.117839335
49.97,0.116952909
49.96,0.12166205
49.96,0.11867036
49.95,0.118504155
49.95,0.11800554
49.95,0.116731302
49.94,0.118060942
49.92,0.116620499
49.92,0.11867036
49.92,0.1166759
49.91,0.118836565
49.9,0.117839335
49.9,0.118393352
49.9,0.117617729
49.88,0.11833795
49.87,0.118448753
49.87,0.118725762
49.86,0.11833795
49.86,0.117174515
49.84,0.118116343
49.83,0.119224377
49.8,0.118725762
49.77,0.118282548
49.74,0.119390582
49.67,0.118448753
49.63,0.117285319
49.48,0.118781163
49.45,0.121440443
49.45,0.118836565
49.42,0.120221607
49.35,0.11767313
49.18,0.11900277
49.14,0.121385042
49.06,0.119612188
49.02,0.118947368
48.88,0.119390582
48.79,0.11800554
48.76,0.120831025
48.65,0.120110803
48.5,0.120277008
48.49,0.120554017
48.36,0.121052632
48.25,0.120886427
48.14,0.12066482
48.09,0.119722992
48.03,0.120277008
47.95,0.121108033
47.94,0.120775623
47.92,0.11966759
47.87,0.117451524
47,0.117728532
46.97,0.118393352
45.98,0.117174515
44.99,0.118891967
44.12,0.117783934
43.29,0.117285319
42.5,0.11800554
41.79,0.117617729
41,0.118227147
40.25,0.117728532
39.51,0.119445983
38.86,0.117396122
38.24,0.117506925
37.62,0.117562327
37.01,0.118504155
36.42,0.118614958
35.91,0.118171745
35.4,0.117119114
34.89,0.11767313
34.45,0.117950139
34,0.117451524
33.62,0.117894737
33.23,0.117783934
32.91,0.117783934
32.53,0.117783934
32.2,0.1166759
31.87,0.117506925
31.56,0.11767313
31.29,0.116565097
31.07,0.117451524
30.85,0.116620499
30.73,0.112797784
30.66,0.112409972
30.59,0.117396122
30.58,0.112742382
30.58,0.113240997
30.53,0.112686981
30.41,0.112188366
30.36,0.11634349
30.31,0.112908587
30.27,0.113296399
30.22,0.112520776
30.22,0.113961219
30.22,0.113185596
30.21,0.112853186
30.2,0.11401662
30.18,0.117174515
30.18,0.113296399
30.18,0.112908587
30.16,0.114182825
30.16,0.113296399
30.16,0.113795014
30.15,0.113850416
30.14,0.114127424
30.11,0.113296399
30.11,0.112742382
30.08,0.114072022
30.06,0.113795014
30.06,0.113628809
30.05,0.113739612
30.03,0.113795014
29.99,0.113850416
29.98,0.113240997
29.97,0.113185596
29.96,0.11734072
29.96,0.114404432
29.94,0.113185596
29.9,0.113684211
29.9,0.111689751
29.89,0.113850416
29.89,0.112908587
29.89,0.113351801
29.89,0.113462604
29.88,0.112132964
29.86,0.112188366
29.86,0.112243767
29.85,0.112520776
29.85,0.112742382
29.84,0.115512465
29.84,0.113019391
29.84,0.111966759
29.84,0.112963989
29.83,0.112631579
29.83,0.111689751
29.83,0.112742382
29.82,0.113351801
29.81,0.113130194
29.81,0.113628809
29.81,0.112797784
29.8,0.112465374
29.79,0.113462604
29.79,0.113628809
29.79,0.113351801
29.79,0.113185596
29.78,0.113905817
29.76,0.113462604
29.68,0.114404432
29.62,0.116731302
29.61,0.113240997
29.49,0.114404432
29.41,0.116842105
29.39,0.114072022
29.37,0.112576177
29.32,0.116786704
29.29,0.113961219
29.22,0.114459834
29.17,0.115623269
29.15,0.114515235
29.08,0.113684211
29.03,0.116509695
29,0.115290859
28.92,0.115512465
28.91,0.115401662
28.86,0.114903047
28.85,0.115180055
28.84,0.112853186
28.82,0.115124654
28.82,0.114903047
28.8,0.116121884
28.79,0.115457064
28.76,0.115180055
28.76,0.115900277
28.74,0.115457064
28.42,0.113795014
28.07,0.112631579
27.4,0.112797784
26.71,0.111911357
26.21,0.112409972
25.77,0.112686981
25.23,0.112243767
24.62,0.112963989
24.2,0.112576177
23.86,0.112797784
23.39,0.112576177
22.85,0.112243767
22.41,0.112908587
22.06,0.111855956
21.67,0.113850416
21.18,0.112853186
20.83,0.112576177
20.55,0.112908587
20.2,0.112797784
19.66,0.112576177
19.26,0.111855956
18.94,0.111800554
18.61,0.112908587
18.22,0.111634349
17.92,0.111966759
17.66,0.112409972
17.4,0.111911357
16.97,0.112686981
16.65,0.112797784
16.39,0.112686981
16.17,0.111578947
15.81,0.111301939
15.53,0.111024931
15.31,0.111911357
15.1,0.110969529
14.82,0.112022161
14.5,0.112077562
14.26,0.111800554
14.11,0.111523546
13.9,0.111634349
13.68,0.111246537
13.55,0.111523546
13.39,0.111191136
13.27,0.111523546
13.16,0.111800554
13.07,0.111191136
12.96,0.110692521
12.89,0.109972299
12.83,0.111523546
12.77,0.111024931
12.72,0.110747922
12.69,0.111191136
12.61,0.109639889
12.53,0.110969529
12.47,0.110803324
12.43,0.110581717
12.38,0.109695291
12.34,0.109695291
12.28,0.110526316
12.22,0.110747922
12.16,0.110193906
12.11,0.111191136
12.09,0.110637119
12.05,0.109473684
12.01,0.109529086
11.97,0.109584488
11.91,0.110470914
11.88,0.110193906
11.82,0.110027701
11.8,0.109695291
11.75,0.109750693
11.7,0.108975069
11.67,0.109252078
11.63,0.109196676
11.59,0.108975069
11.56,0.109307479
11.52,0.108919668
11.47,0.109639889
11.45,0.108476454
11.41,0.108919668
11.39,0.108254848
11.36,0.109141274
11.32,0.108864266
11.29,0.108808864
11.26,0.109196676
11.21,0.108919668
11.17,0.108310249
11.14,0.108531856
11.11,0.107922438
11.09,0.108698061
11.06,0.108531856
11.03,0.108476454
10.99,0.106648199
10.97,0.107922438
10.93,0.108254848
10.88,0.107590028
10.85,0.108698061
10.85,0.107423823
10.83,0.108144044
10.8,0.106980609
10.76,0.107867036
10.74,0.106980609
10.7,0.106703601
10.68,0.107423823
10.64,0.107313019
10.63,0.107534626
10.59,0.108310249
10.57,0.107867036
10.55,0.108088643
10.54,0.108144044
10.51,0.107756233
10.47,0.107036011
10.44,0.108365651
10.43,0.107756233
10.4,0.106814404
10.39,0.107091413
10.36,0.106648199
10.34,0.107811634
10.3,0.107811634
10.29,0.107534626
10.27,0.106648199
10.24,0.106149584
10.22,0.107036011
10.19,0.107313019
10.17,0.106038781
10.13,0.106481994
10.11,0.107313019
10.11,0.106038781
10.1,0.105484765
10.08,0.106038781
10.05,0.106814404
10.04,0.106925208
10.02,0.107645429
10.01,0.105096953
9.98,0.106481994
9.97,0.106814404
9.95,0.106149584
9.93,0.107257618
9.9,0.10598338
9.89,0.106315789
9.88,0.106592798
9.84,0.105872576
9.83,0.106038781
9.79,0.106315789
9.79,0.105761773
9.79,0.105373961
9.79,0.106260388
9.79,0.106869806
9.78,0.106260388
9.75,0.106204986
9.72,0.106869806
9.72,0.105817175
9.69,0.106426593
9.69,0.106149584
9.67,0.106869806
9.65,0.105706371
9.64,0.106149584
9.62,0.106814404
9.62,0.106703601
9.6,0.105484765
9.59,0.10565097
9.58,0.105540166
9.57,0.104542936
9.57,0.104709141
9.57,0.105540166
9.53,0.105373961
9.53,0.105540166
9.52,0.105706371
9.52,0.104376731
9.51,0.105872576
9.5,0.103711911
9.5,0.105540166
9.5,0.105373961
9.5,0.105872576
9.5,0.105927978
9.49,0.106703601
9.49,0.104930748
9.48,0.105927978
9.48,0.105540166
9.48,0.105041551
9.48,0.105484765
9.47,0.106315789
